English,Hungary
the,a
I,én
to,hogy
and,és
a,a
of,a
was,volt
he,ő
you,te
it,azt
in,be
her,neki
she,ő
that,hogy
my,az én
his,az övé
me,nekem
on,-on
with,-vel
at,at
as,mint
had,volt
for,számára
but,de
him,neki
said,mondta
be,legyen
up,fel
out,ki
look,Nézze
so,így
have,van
what,Mi
not,nem
just,éppen
like,mint
go,megy
they,azok
is,van
this,ez
from,-tól
all,minden
we,mi
were,voltak
back,vissza
do,csináld
one,egy
about,körülbelül
know,tud
if,ha
when,amikor
get,kap
then,majd
into,-ba
would,lenne
no,nem
there,ott
I'm,én vagyok
could,tudott
don't,ne
ask,kérdez
down,le-
time,idő
didn't,nem
want,akar
eye,szem
them,őket
over,felett
your,a te
are,vannak
or,vagy
been,volt
now,jelenleg
an,an
by,által
think,gondol
see,lásd
hand,kéz
it's,ez van
say,mondjuk
how,hogyan
around,körül
head,fej
did,tette
well,jól
before,előtt
off,le
who,WHO
more,több
even,még
turn,fordulat
come,jön
smile,mosoly
way,út
really,igazán
can,tud
face,arc
other,más
some,néhány
right,jobbra
their,az övék
only,csak
walk,séta
make,készítsenek
got,kapott
try,megpróbál
something,valami
room,szoba
again,újra
thing,dolog
after,után
still,még mindig
thought,gondolat
door,ajtó
here,itt
too,is
little,kis
because,mert
why,Miért
away,el
let,hagyja
take,vesz
two,két
start,indul
good,jó
where,ahol
never,soha
through,keresztül
day,nap
much,sokkal
tell,mondd
wasn't,nem volt
girl,lány
feel,érezni
oh,ó
you're,te vagy
call,hívás
talk,beszélgetés
will,akarat
long,hosszú
than,mint
us,minket
made,készült
friend,barátja
knew,tudta
open,nyitott
need,igény
first,első
which,melyik
people,emberek
that's,ez az
went,ment
sure,Persze
seem,látszik
stop,Stop
voice,hang
very,nagyon
felt,filc
took,vett
our,a miénk
pull,Húzni
laugh,nevetés
man,férfi
okay,Rendben
close,közeli
any,bármilyen
came,jött
told,mondta
love,szeretet
watch,óra
arm,kar
anything,bármi
I'll,Beteg
though,bár
put,tegye
left,balra
work,munka
guy,fickó
hair,haj
next,következő
couldn't,nem lehetett
yeah,igen
while,míg
mean,átlagos
home,otthon
few,kevés
saw,fűrész
place,hely
school,iskola
help,Segítség
wait,Várjon
late,késő
year,év
can't,nem lehet
house,ház
happen,történik
last,utolsó
always,mindig
move,mozog
old,régi
night,éjszaka
nod,bólint
life,élet
give,ad
sit,ül
stare,bámul
sat,ült
should,kellene
moment,pillanat
another,másik
behind,mögött
side,oldal
sound,hang
once,egyszer
find,lelet
toward,felé
boy,fiú
ever,valaha
nothing,semmi
front,elülső
mother,anya
name,név
am,am
since,mivel
reply,válasz
he's,ő az
myself,magamat
leave,szabadság
bed,ágy
new,új
car,autó
use,használat
mind,elme
maybe,talán
has,rendelkezik
heard,hallott
answer,válasz
minute,perc
yes,igen
until,-ig
both,mindkét
found,talált
end,vége
small,kicsi
I'd,én
word,szó
someone,valaki
same,azonos
enough,elég
began,kezdődött
run,fut
bit,bit
sigh,sóhaj
each,minden
those,azok
almost,majdnem
against,ellen
everything,minden
most,legtöbb
thank,köszönet
wouldn't,nem tenném
mom,anya
better,jobb
play,játék
I've,megvan
own,saját
every,minden
hard,kemény
remember,ne feledje
three,három
stood,állt
live,élő
stand,állvány
second,második
sorry,sajnálom
keep,tartsa
finally,végül
point,pont
gave,adott
already,már
actually,tulajdonképpen
probably,valószínűleg
himself,magát
big,nagy
everyone,mindenki
guess,találgatás
lot,sok
step,lépés
hey,szia
hear,hall
light,fény
quickly,gyorsan
dad,apu
kiss,csók
black,fekete
pick,csákány
else,más
soon,hamar
shoulder,váll
table,táblázat
best,legjobb
without,nélkül
notice,értesítés
stay,marad
care,gondoskodás
phone,telefon
reach,elérje
